slant_mean,slant_std,slant_entropy,space_mean,space_std,space_entropy,conc_mean,conc_std,conc_entropy,Label
104.8791209,8.036776956,2.151557144,63.88135593,15.31929629,4.226183482,9.315174166,3.47026918,3.30316985,0
88.54878049,3.407854768,1.303205726,50.8125,23.56896463,4.708918899,13.55392096,6.270517445,3.901389634,0
90,0,0,69.12727273,8.776113336,3.802579085,11.82983555,5.066920005,3.588498395,1
78.58108108,4.753396387,1.799408906,32.73584906,13.68672535,4.310712937,13.21981543,5.447139915,3.602032655,0
70.74242424,14.53033463,3.20359092,76.42696629,38.26603729,5.418155072,8.322348339,3.376328365,3.596885489,0
90,0,0,80.21568627,22.13444988,4.551205727,13.24879173,3.016418271,2.68247508,0
46.7375,3.839738761,1.204351639,80.44827586,21.22715601,4.41676953,10.75574452,4.516480014,3.608593607,0
95.65853659,10.67275939,2.672630448,81.72340426,15.30637766,4.047380312,10.00719484,3.759344706,3.505694556,0
72.90140845,7.409842958,2.411075863,57.58333333,10.60823841,3.914372471,12.58569875,4.191278864,3.704800073,0
74.03333333,7.802350073,2.453521794,56.56716418,21.41573134,4.928700315,12.05864448,3.889286804,3.518771116,0
74.78313253,6.044111329,1.821801705,59.28125,17.63383533,4.522979297,12.34120144,4.276991298,3.409402398,0
72.96078431,15.06972134,3.226116801,83.16129032,22.43714773,4.278254494,9.442056612,3.611368898,3.34614471,1
88.87692308,2.187430472,1.050156118,60.96,13.29655595,3.943129823,13.60388355,5.23440557,3.343052235,0
80.05479452,8.606926823,2.577989426,80.04,19.12271947,4.231104697,11.27796069,4.168090532,3.565732057,0
78.26315789,8.211943198,2.413743893,70.53030303,17.49044735,4.509503588,10.42693216,3.934049193,3.400262107,0
76.13636364,11.33429545,3.097401992,56.01769912,32.44027386,4.986222543,9.602152317,3.049063152,3.396977617,0
46.84507042,3.53114069,1.321422895,67.67924528,15.50018087,4.242606513,12.61782764,5.649453814,3.707887024,1
